Column,P-Value
G,0.5766086526765852
H,0.9685899453116666
L,0.8789727385279542
AC,0.15451435602979255
AH,0.3915980975749128
AK,0.33907185429617537
AM,0.22520373696672724
AW,0.22278180391964308
RA,0.30920006521626975
RN,0.06757891160390715
RC,0.5783278242425719
RQ,0.2099363971675895
RG,0.22951900360930477
RH,0.4007925446970756
RI,0.6201373528541798
RM,0.210567545245668
RS,0.7740188804646353
RV,0.20532138001196953
NN,0.0974708873987689
NC,0.3616166541780014
NQ,0.8046847887632812
NH,0.950223269442893
NM,0.3138646774786905
NF,0.054658361779023286
NW,0.7290775419537725
NY,0.20918361183194223
DC,0.1487093365797778
DM,0.058885149210832495
DW,0.2641955633027696
DY,0.4284662818499796
CA,0.20705189612627928
CR,0.34795823460209596
CN,0.3616167578866142
CD,0.138298449932367
CC,0.4282653473326007
CE,0.31615269188641615
CQ,0.051815747867532076
CH,0.781616488968312
CI,0.13208046728916428
CK,0.8843184342678513
CM,0.22757356992959032
CT,0.6017315145414945
CW,0.17082827443737292
CY,0.547737971160716
CV,0.48395656345087845
EC,0.21439872134773508
EW,0.8655754614659559
EY,0.0755286814745587
QR,0.14709381757490306
QC,0.9481346848026275
QG,0.47442958792637757
QK,0.4979589809953827
QM,0.16673443043314717
QY,0.08535564525211659
GH,0.8398432969155609
GI,0.5282593866029955
GL,0.7313664802331966
GM,0.24677495584355913
GW,0.4184683277765582
GY,0.14368162263523707
HA,0.6650613188218841
HN,0.5416904957406299
HC,0.47865884433175765
HQ,0.21343573173806518
HG,0.18387710303678417
HI,0.3653842726697323
HL,0.3841496803485005
HK,0.6966448710589449
HM,0.14865158947133067
HS,0.3871667391926459
HT,0.16741439892173393
HW,0.8033460005139821
HY,0.12908057345645682
HV,0.8426996332557241
IR,0.28147115773711606
IN,0.13810810664116455
IC,0.7950903762648049
IG,0.35882265208937236
IH,0.13340882661296968
II,0.9809465082469967
IM,0.31591021696894084
IP,0.11357968463069609
IW,0.31657274728492113
IY,0.27805297426395903
IV,0.07494470385107657
LQ,0.7715283472782695
LW,0.5283475596313867
KN,0.15156968344394295
KD,0.06736484502356489
KC,0.34568601553307776
KH,0.14328207815208652
KI,0.36944190928495335
KM,0.19470670915881638
KS,0.05317640580450766
KT,0.8796103118920776
KY,0.43406899505148944
MA,0.09547752431712926
MN,0.7265953280029595
MC,0.24077575316791178
MQ,0.274741644788448
MG,0.29844208482262813
MH,0.41716234299660915
MK,0.3984374550181762
MM,0.2641955077422967
MF,0.14865102072800288
MW,0.8374528352164023
MY,0.17082827443737292
FQ,0.811025052226237
FH,0.24188134651715354
FI,0.5200399429601461
FL,0.1294949051117738
FM,0.058885149210832495
FP,0.3339600298161066
FT,0.14695596249532322
FW,0.2534676347872541
PI,0.3368517602276795
PM,0.240775794549124
PY,0.4358981479238546
PV,0.5783503105795998
SG,0.06244166288196508
SM,0.1731539824201077
SF,0.0864502887144932
SW,0.10001410715428691
SY,0.21892328521453186
TR,0.7916099354498135
TC,0.9631726770533102
TH,0.29778446439892015
TK,0.06250752794680405
TF,0.6845652688149004
WN,0.7848897820798163
WD,0.06697404707387823
WG,0.5908409457883699
WI,0.3982459811656318
WL,0.21057497695013416
WM,0.07141467329469746
WP,0.6125306365202219
WY,0.5205409829199673
YN,0.11328150445410667
YC,0.09345888939405124
YE,0.26569366361740043
YH,0.10192421710499729
YL,0.0961240306316385
YK,0.7912435199927443
YM,0.1296443070755767
YF,0.18103862958026673
YP,0.10124131962616001
YS,0.18864989296118706
YT,0.6613844121085473
YW,0.19684400750440756
YY,0.09847246463378896
YV,0.06712496803722551
VR,0.23367549866474935
VC,0.14860293338829736
VQ,0.8917040650879497
VG,0.07308576920122366
VK,0.29661682829380387
VW,0.15944622230422056
_HydrophobicityD1001,0.34412630026460733
_HydrophobicityD1075,0.805862876773825
_HydrophobicityD2025,0.07087226019939458
_HydrophobicityD3025,0.6731430619223733
_HydrophobicityD3050,0.16481891964041562
_HydrophobicityD3075,0.07978276546939228
_HydrophobicityD3100,0.8970998355283084
_NormalizedVDWVD1001,0.33124355809912764
_NormalizedVDWVD1025,0.6739535633885132
_PolarityD1025,0.8656215170754944
_PolarityD1050,0.6636455064454643
_PolarityD1075,0.6118453147490055
_PolarityD1100,0.9331392458479487
_ChargeD2025,0.10785742073510625
_SecondaryStrD1025,0.7008328186964159
_SecondaryStrD2025,0.08631985055327393
_SecondaryStrD3001,0.2226196801927538
_SecondaryStrD3025,0.10495014043303302
_SolventAccessibilityD1050,0.9324763888527051
_SolventAccessibilityD1075,0.2126360891936252
_SolventAccessibilityD1100,0.1061529710665369
_SolventAccessibilityD2001,0.34412630026460733
_SolventAccessibilityD2075,0.805862876773825
_SolventAccessibilityD3001,0.2777461043878384
_SolventAccessibilityD3025,0.750135129275811
_PolarizabilityD1001,0.7001938518640607
